             Open        High         Low       Close   Adj Close        Volume       MA_20       MA_50  Daily_Return  Volatility         RSI
count  707.000000  707.000000  707.000000  707.000000  707.000000  7.070000e+02  707.000000  707.000000    707.000000  707.000000  707.000000
mean    15.315926   15.444412   15.182402   15.316888   14.077783  3.136377e+06   15.211641   15.095640      0.001418    0.544983   53.518758
std      2.775482    2.779746    2.769989    2.775995    2.845574  1.787307e+06    2.739404    2.657316      0.023218    0.327989   17.107365
min      7.490000    8.090000    7.480000    7.650000    6.489331  6.185000e+05    8.879000    9.400200     -0.156560    0.116369   11.695902
25%     13.985000   14.125000   13.895000   14.025000   12.590951  1.958150e+06   13.181250   12.264000     -0.010906    0.313840   41.627282
50%     15.810000   15.955000   15.690000   15.810000   14.659333  2.718900e+06   15.836000   15.756600      0.000641    0.465658   53.080571
75%     17.240000   17.350000   17.007500   17.209999   16.086470  3.704300e+06   17.332750   16.975500      0.012707    0.683243   65.251199
max     21.389999   21.485001   21.260000   21.299999   19.675097  1.688290e+07   20.083500   19.134000      0.134177    1.935092   94.607732
